time,f0,speaker,date,condition
5.27,322.956403,5,20240724,conversation
5.275,326.583756,5,20240724,conversation
5.28,331.025716,5,20240724,conversation
5.285,332.197193,5,20240724,conversation
5.29,334.437111,5,20240724,conversation
5.295,342.118035,5,20240724,conversation
5.3,347.742645,5,20240724,conversation
5.305,346.154641,5,20240724,conversation
5.31,340.14617,5,20240724,conversation
5.315,328.314581,5,20240724,conversation
5.32,327.11046,5,20240724,conversation
5.325,330.755669,5,20240724,conversation
5.33,333.437591,5,20240724,conversation
5.335,333.190084,5,20240724,conversation
5.44,278.266129,5,20240724,conversation
5.445,275.782473,5,20240724,conversation
5.45,272.459245,5,20240724,conversation
5.455,268.7928,5,20240724,conversation
5.46,265.310308,5,20240724,conversation
5.465,262.927738,5,20240724,conversation
5.47,261.810801,5,20240724,conversation
5.475,261.329691,5,20240724,conversation
5.48,261.129732,5,20240724,conversation
5.485,261.329593,5,20240724,conversation
5.49,262.543354,5,20240724,conversation
5.495,263.786505,5,20240724,conversation
5.5,264.70095,5,20240724,conversation
5.505,265.476349,5,20240724,conversation
5.51,265.777948,5,20240724,conversation
5.515,264.408081,5,20240724,conversation
5.52,260.160045,5,20240724,conversation
5.525,257.829416,5,20240724,conversation
5.53,256.426573,5,20240724,conversation
5.535,255.023796,5,20240724,conversation
5.54,254.447199,5,20240724,conversation
5.545,253.552707,5,20240724,conversation
5.55,244.072862,5,20240724,conversation
5.555,229.940364,5,20240724,conversation
5.56,221.067495,5,20240724,conversation
5.565,214.969649,5,20240724,conversation
5.57,221.561989,5,20240724,conversation
5.575,229.997345,5,20240724,conversation
5.58,232.038886,5,20240724,conversation
5.585,231.814302,5,20240724,conversation
5.59,229.749148,5,20240724,conversation
5.595,224.286206,5,20240724,conversation
5.67,241.711943,5,20240724,conversation
5.675,239.462485,5,20240724,conversation
5.68,238.481633,5,20240724,conversation
5.685,237.789196,5,20240724,conversation
5.69,236.481321,5,20240724,conversation
5.695,233.796837,5,20240724,conversation
5.7,229.881354,5,20240724,conversation
5.705,226.298044,5,20240724,conversation
5.71,223.916137,5,20240724,conversation
5.715,222.371649,5,20240724,conversation
5.72,221.283271,5,20240724,conversation
5.725,220.537815,5,20240724,conversation
5.73,220.215539,5,20240724,conversation
5.735,220.472765,5,20240724,conversation
5.74,221.415492,5,20240724,conversation
5.745,222.591739,5,20240724,conversation
5.75,223.412091,5,20240724,conversation
5.755,223.785932,5,20240724,conversation
5.76,224.042263,5,20240724,conversation
5.765,224.694188,5,20240724,conversation
5.77,225.712652,5,20240724,conversation
5.775,226.014264,5,20240724,conversation
5.78,225.369249,5,20240724,conversation
5.785,224.336628,5,20240724,conversation
5.79,223.773101,5,20240724,conversation
5.795,224.263792,5,20240724,conversation
5.8,224.842812,5,20240724,conversation
5.805,224.677197,5,20240724,conversation
5.81,224.064277,5,20240724,conversation
5.815,223.772092,5,20240724,conversation
5.82,223.294383,5,20240724,conversation
5.825,222.196256,5,20240724,conversation
5.83,220.923169,5,20240724,conversation
5.835,219.338925,5,20240724,conversation
5.855,234.55515,5,20240724,conversation
5.86,233.939984,5,20240724,conversation
5.865,232.364959,5,20240724,conversation
5.87,231.659353,5,20240724,conversation
5.875,231.786796,5,20240724,conversation
5.88,231.666727,5,20240724,conversation
5.885,230.740388,5,20240724,conversation
5.89,229.218771,5,20240724,conversation
5.895,227.306663,5,20240724,conversation
5.9,224.926227,5,20240724,conversation
5.905,222.52274,5,20240724,conversation
5.91,221.010533,5,20240724,conversation
5.915,219.660595,5,20240724,conversation
5.92,218.117212,5,20240724,conversation
5.925,217.23473,5,20240724,conversation
5.93,217.620041,5,20240724,conversation
5.935,218.387671,5,20240724,conversation
5.94,218.738226,5,20240724,conversation
5.945,218.984541,5,20240724,conversation
5.95,219.409046,5,20240724,conversation
5.955,219.708234,5,20240724,conversation
5.96,219.828951,5,20240724,conversation
5.965,220.121981,5,20240724,conversation
5.97,220.793396,5,20240724,conversation
5.975,221.983194,5,20240724,conversation
5.98,223.397517,5,20240724,conversation
5.985,224.532564,5,20240724,conversation
5.99,225.228083,5,20240724,conversation
5.995,225.489327,5,20240724,conversation
6,225.132664,5,20240724,conversation
6.005,224.331656,5,20240724,conversation
6.01,223.558303,5,20240724,conversation
6.015,222.959984,5,20240724,conversation
6.02,222.698253,5,20240724,conversation
6.025,222.891206,5,20240724,conversation
6.03,223.694055,5,20240724,conversation
6.035,224.752778,5,20240724,conversation
16.397,264.463956,5,20240724,conversation
16.402,268.570797,5,20240724,conversation
16.407,271.769474,5,20240724,conversation
16.412,273.088287,5,20240724,conversation
16.417,273.083032,5,20240724,conversation
16.422,272.431679,5,20240724,conversation
16.427,270.41614,5,20240724,conversation
16.432,267.897404,5,20240724,conversation
16.437,266.63397,5,20240724,conversation
16.442,267.184074,5,20240724,conversation
16.447,268.621944,5,20240724,conversation
16.452,269.400883,5,20240724,conversation
16.457,269.033368,5,20240724,conversation
